,,TOTAL,Fruta,,,,,,,,,Sexo,
,,,Pejibaye,Caimito,Cacahuate,Pejibaye,,Caimito,,Cacahuate,,mujer,hombre
,,,,,,Sexo,,Sexo,,Sexo,,,
,,,,,,mujer,hombre,mujer,hombre,mujer,hombre,,
P25. A que sabe?,Amargo,20,5,10,5,2.5,2.5,6,4,2,3,10.5,9.5
,Rancio,40,20,10,10,8,12,4,6,7,3,19,21
,Mieloso,30,10,10,10,2,8,8,2,3,7,13,17
,Culo,10,1,3,6,1,0,2,1,4,2,7,3
Total,,100,36,33,31,13.5,22.5,20,13,16,15,49.5,50.5
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,TOTAL,Edad,,,,,,,,,,
,,,menores,mayores,,,,,,,,,
P25a. A que sabe por edad?,Amargo,20,10.5,9.5,,,,,,,,,
,Rancio,40,19,21,,,,,,,,,
,Mieloso,30,13,17,,,,,,,,,
,Culo,10,7,3,,,,,,,,,
Total,,100,49.5,50.5,,,,,,,,,
